model,accuracy,f1_macro,f1_weighted,train_time_s,timestamp,dataset_version,train_period,test_period,temperature
XGBoost,0.79875,0.7522123780496929,0.7976194805960581,28.9,2026-03-26T19:16:01.794877,v1.1 — 7200 rows + 5% label noise,2023-2024,2025,1.058315108848919
Voting (RF+XGB+LGBM),0.7983333333333333,0.7555807065923493,0.7975900289931975,56.6,2026-03-26T19:16:01.794877,v1.1 — 7200 rows + 5% label noise,2023-2024,2025,1.058315108848919
Random Forest,0.7966666666666666,0.7493454741678084,0.79567607644443,7.8,2026-03-26T19:16:01.794877,v1.1 — 7200 rows + 5% label noise,2023-2024,2025,1.058315108848919
LightGBM,0.7954166666666667,0.7523612550729685,0.7946948842765068,27.2,2026-03-26T19:16:01.794877,v1.1 — 7200 rows + 5% label noise,2023-2024,2025,1.058315108848919
SVM (RBF),0.745,0.7008496612057207,0.7446808606163645,20.4,2026-03-26T19:16:01.794877,v1.1 — 7200 rows + 5% label noise,2023-2024,2025,1.058315108848919
KNN,0.6508333333333334,0.6011983859288161,0.6523220299531635,0.6,2026-03-26T19:16:01.794877,v1.1 — 7200 rows + 5% label noise,2023-2024,2025,1.058315108848919
